FIPSCode,Jurisdiction,State,Registered_Eligible_Total,Active_Registered_Total,Inactive_Registered_Total,Same_Day_Registration_Total,Same_Day_Comment,Voters_Removed_Rolls_Total,Voters_Moved_Removed,Voters_Died_Removed,Voter_Felony_Removed,Longterm_Inactive_Removed,Mentally_Incompetent_Removed,Voter_Request_Removed,Other1_Comment_Removed,Other1_Comment_Removed,Other2_Comment_Removed,Other2_Removed,Other3_Comment_Removed,Other3_Removed,Absentee_UOCAVA_Total,UOCAVA_Rejected,Missed_Deadline_UOCAVA,Voter_Signature_Problem_UOCAVA,No_Postmark_UOCAVA,Other_UOCAVA,Absentee_Civilian_Total,Civilian_Absentee_Counted,Civilian_Absentee_Rejected,Missed_Deadline_Civilian,No_Voter_Signature_Civilian,No_Witness_Signature_Civilian,Non-matching_Signature_Civilian,No_Official_Signature_Civilian,Unofficial_Envelope_Civilian,Ballot_Missing_Civilian,Envelope_Unsealed_Civilian,No_Address_Envelope_Civilian,Multiple_Ballots_Envelope_Civilian,Voter_Deceased_Civilian,Voted_In_Person_Civilian,Improper_ID_Civilian,No_Ballot_Application_Civilian,Other1_Comment_Civilian,Other1_Civilian,Other2_Comment_Civilian,Other2_Civilian,Other3_Comment_Civilian,Other3_Civilian,Precincts_Total,Polling_Places_Total,Poll_Workers_Total,Provisional_Ballot_Total,Counted_Full_Provisional,Counted_Partial_Provisional,Rejected_Provisional,Participated_Total,In_Person_Participated,UOCAVA_Absentee_Participated,Civilian_Absentee_Participated,Provisional_Participated,Early_Vote_Participated,Mail_Jurisdictoin_Participated,Other1_Comment_Participated,Other1_Participated
100100000,AUTAUGA COUNTY,AL,43695,41088,2607,-88,,1563,111,962,32,0,0,1,DUPLICATE PROFILES,457,VALID SKIP,-77,VALID SKIP,-77,-99,0,0,0,0,-77,1329,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,20,18,168,189,101,-88,88,27813,24217,58,3437,101,-99,-88,VALID SKIP,-77
100300000,BALDWIN COUNTY,AL,176668,165925,10743,-88,,4754,654,3579,90,7,1,5,DUPLICATE PROFILES,354,OTHER - SEE NOTES,63,NOT A CITIZEN,1,-99,-99,0,0,0,-77,11147,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,52,50,529,943,677,-88,260,110214,96609,311,12617,677,-99,-88,VALID SKIP,-77
100500000,BARBOUR COUNTY,AL,17850,16827,1023,-88,,974,57,635,51,0,0,1,DUPLICATE PROFILES,230,VALID SKIP,-77,VALID SKIP,-77,-99,0,0,0,0,-77,726,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,18,16,119,59,30,-88,29,10560,9234,20,1276,30,-99,-88,VALID SKIP,-77
100700000,BIBB COUNTY,AL,15014,14370,644,-88,,633,12,448,33,1,0,0,DUPLICATE PROFILES,139,VALID SKIP,-77,VALID SKIP,-77,-99,0,0,0,0,-77,332,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,10,8,70,45,22,-88,23,9630,9031,14,563,22,-99,-88,VALID SKIP,-77
100900000,BLOUNT COUNTY,AL,41927,40432,1495,-88,,1857,69,1170,102,0,0,0,DUPLICATE PROFILES,515,CONFIRMATION MAILING PROCESS,1,VALID SKIP,-77,-99,0,1,0,0,5,1032,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,26,24,165,217,121,-88,96,27665,25823,47,1674,121,-99,-88,VALID SKIP,-77
101100000,BULLOCK COUNTY,AL,7457,6977,480,-88,,311,14,233,19,0,0,0,DUPLICATE PROFILES,45,VALID SKIP,-77,VALID SKIP,-77,-99,0,0,0,0,-77,538,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,17,15,105,11,7,-88,4,4633,3903,7,716,7,-99,-88,VALID SKIP,-77
101300000,BUTLER COUNTY,AL,14646,13881,765,-88,,623,28,492,21,0,0,0,DUPLICATE PROFILES,82,VALID SKIP,-77,VALID SKIP,-77,-99,0,0,0,0,1,751,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,24,22,116,40,21,-88,19,9527,8436,26,1044,21,-99,-88,VALID SKIP,-77
101500000,CALHOUN COUNTY,AL,81674,76683,4991,-88,,3254,192,2455,134,40,0,4,DUPLICATE PROFILES,427,OTHER - SEE NOTES,2,VALID SKIP,-77,-99,-99,0,0,0,2,2240,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,46,44,327,436,241,-88,192,51141,46199,127,4574,241,-99,-88,VALID SKIP,-77
101700000,CHAMBERS COUNTY,AL,26077,24799,1278,-88,,1294,37,830,84,1,0,0,DUPLICATE PROFILES.,339,OTHER - SEE NOTES,3,VALID SKIP,-77,-99,0,0,0,0,-77,1265,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,18,16,132,102,50,-88,41,15374,12538,23,2763,50,-99,-88,VALID SKIP,-77
101900000,CHEROKEE COUNTY,AL,19469,18622,847,-88,,774,25,592,39,0,0,1,DUPLICATE PROFILES,114,CONFIRMATION MAILING PROCESS,2,OTHER - SEE NOTES,1,-99,1,1,0,0,-77,522,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,25,23,131,50,24,-88,26,12341,11398,13,906,24,-99,-88,VALID SKIP,-77
102100000,CHILTON COUNTY,AL,29873,27969,1904,-88,,1253,35,924,40,0,0,0,DUPLICATE PROFILES,251,CONFIRMATION MAILING PROCESS,1,OTHER - SEE NOTES,2,-99,0,0,0,0,-77,1023,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,20,18,145,71,35,-88,36,19366,17750,29,1552,35,-99,-88,VALID SKIP,-77
102300000,CHOCTAW COUNTY,AL,11033,10341,692,-88,,501,30,403,11,1,0,1,DUPLICATE PROFILES,53,NOT A US CITIZEN,1,OTHER - SEE NOTES,1,-99,-99,0,0,0,-77,400,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,34,32,163,16,8,-88,8,7515,6710,3,794,8,-99,-88,VALID SKIP,-77
102500000,CLARKE COUNTY,AL,19676,18640,1036,-88,,867,39,707,22,0,0,0,DUPLICATE PROFILES.,99,VALID SKIP,-77,VALID SKIP,-77,-99,0,0,0,0,-77,944,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,31,29,137,48,39,-88,8,13185,11810,13,1323,39,-99,-88,VALID SKIP,-77
102700000,CLAY COUNTY,AL,10468,9945,523,-88,,421,35,356,6,0,0,0,OTHER - SEE NOTES,1,DUPLICATE PROFILES,23,VALID SKIP,-77,-99,0,1,0,0,-77,299,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,17,15,95,87,56,-88,31,6996,6381,5,554,56,-99,-88,VALID SKIP,-77
102900000,CLEBURNE COUNTY,AL,11516,10589,927,-88,,580,18,341,10,0,0,1,DUPLICATE PROFILES.,208,CONFIRMATION MAILING PROCESS,2,VALID SKIP,-77,-99,0,0,0,0,-77,290,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,16,14,68,18,12,-88,6,7255,6659,6,578,12,-99,-88,VALID SKIP,-77
103100000,COFFEE COUNTY,AL,37163,34436,2727,-88,,1449,136,1011,35,1,0,5,DUPLICATE PROFILES,256,CONFIRMATION MAILING PROCESS,2,OTHER - SEE NOTES,3,-99,0,0,0,0,-77,1047,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,31,29,204,173,85,-88,88,22387,19877,199,2226,85,-99,-88,VALID SKIP,-77
103300000,COLBERT COUNTY,AL,43748,41977,1771,-88,,1687,82,1229,88,0,0,0,DUPLICATE PROFILES,287,CONFIRMATION MAILING PROCESS,1,VALID SKIP,-77,-99,0,0,1,0,-77,1283,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,36,34,246,138,74,-88,58,27984,24977,25,2908,74,-99,-88,VALID SKIP,-77
103500000,CONECUH COUNTY,AL,10413,9670,743,-88,,579,19,354,23,0,0,1,DUPLICATE PROFILES,182,VALID SKIP,-77,VALID SKIP,-77,-99,0,0,1,0,3,369,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,29,27,128,12,12,-88,0,6472,5978,10,472,12,-99,-88,VALID SKIP,-77
