FIPSCode,Jurisdiction,State,Registered_Eligible_Total,Active_Registered_Total,Inactive_Registered_Total,Same_Day_Registration_Total,Same_Day_Comment,Voters_Removed_Rolls_Total,Voters_Moved_Removed,Voters_Died_Removed,Voter_Felony_Removed,Longterm_Inactive_Removed,Mentally_Incompetent_Removed,Voter_Request_Removed,Other1_Comment_Removed,Other1_Comment_Removed,Other2_Comment_Removed,Other2_Removed,Other3_Comment_Removed,Other3_Removed,Absentee_UOCAVA_Total,UOCAVA_Rejected,Missed_Deadline_UOCAVA,Voter_Signature_Problem_UOCAVA,No_Postmark_UOCAVA,Other_UOCAVA,Absentee_Civilian_Total,Civilian_Absentee_Counted,Civilian_Absentee_Rejected,Missed_Deadline_Civilian,No_Voter_Signature_Civilian,No_Witness_Signature_Civilian,Non-matching_Signature_Civilian,Unofficial_Envelope_Civilian,Ballot_Missing_Civilian,Secrecy_Envelope_Rejected_Civilian,Multiple_Ballots_Envelope_Civilian,Envelope_Unsealed_Civilian,No_Postmark_Civilian,No_Address_Envelope_Civilian,Voter_Deceased_Civilian,Voted_In_Person_Civilian,Improper_ID_Civilian,Rejected_Jurisdiction_Eligibility_Civilian,No_Ballot_Application_Civilian,Other1_Comment_Civilian,Other1_Civilian,Other2_Comment_Civilian,Other2_Civilian,Other3_Comment_Civilian,Other3_Civilian,Precincts_Total,Polling_Places_Total,Poll_Workers_Total,Provisional_Ballot_Total,Counted_Full_Provisional,Counted_Partial_Provisional,Rejected_Provisional,Participated_Total,In_Person_Participated,UOCAVA_Absentee_Participated,Civilian_Absentee_Participated,Provisional_Participated,Early_Vote_Participated,Mail_Jurisdictoin_Participated,Other1_Comment_Participated,Other1_Participated
100100000,AUTAUGA COUNTY,AL,43488,39027,4461,-88,,3727,122,1146,44,2144,0,39,DUPLICATE PROFILES,230,,,,,-99,0,2,0,0,0,173,162,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,20,20,-99,74,38,-88,36,17864,17154,10,162,38,-88,-88,,
100300000,BALDWIN COUNTY,AL,189028,164133,24895,-88,,12177,1107,4952,173,5358,2,39,DUPLICATE PROFILES,536,OTHER,8,,,38,4,2,0,0,0,1903,1671,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,67,52,552,646,492,-88,154,73611,70747,34,1671,492,-88,-88,,
100500000,BARBOUR COUNTY,AL,17270,15203,2067,-88,,1794,107,568,117,861,1,3,DUPLICATE PROFILES,115,,,,,3,0,0,0,0,0,211,180,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,21,16,118,25,21,-88,4,6587,6259,0,180,21,-88,-88,,
100700000,BIBB COUNTY,AL,14741,13804,937,-88,,1152,34,554,13,445,0,0,DUPLICATE PROFILE,73,,,,,4,0,0,0,0,0,91,72,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,16,8,62,9,1,-88,8,5908,5774,4,72,1,-88,-88,,
100900000,BLOUNT COUNTY,AL,41794,39011,2783,-88,,3093,232,1413,126,1123,0,0,DUPLICATE PROFILES,193,,,,,4,0,0,0,0,0,155,144,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,26,26,-99,45,29,-88,16,16681,16299,18,144,29,-88,-88,,
101100000,BULLOCK COUNTY,AL,7151,6327,824,-88,,604,31,255,7,270,0,0,DUPLICATE PROFILES,34,,,,,1,0,0,0,0,0,101,89,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,8,9,-99,4,0,-88,4,2678,2517,0,89,0,-88,-88,,
101300000,BUTLER COUNTY,AL,14317,12923,1394,-88,,1009,62,498,19,388,0,1,DUPLICATE PROFILES,33,,,,,3,0,0,0,0,0,240,246,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,22,22,-99,27,13,-88,14,5978,5649,5,246,13,-88,-88,,
101500000,CALHOUN COUNTY,AL,80216,71901,8315,-88,,7395,306,2727,153,3846,4,8,DUPLICATE PROFILES,346,,,,,-99,0,0,0,0,0,294,251,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,44,44,-99,95,41,-88,54,30257,29419,8,251,43,-88,-88,,
101700000,CHAMBERS COUNTY,AL,25846,22709,3137,-88,,2187,69,819,61,955,0,3,DUPLICATE PROFILES,269,OTHER,7,,,-99,0,0,0,0,0,220,195,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,31,17,-99,48,33,-88,15,9230,8845,0,195,33,-88,-88,,
101900000,CHEROKEE COUNTY,AL,20074,18021,2053,-88,,1548,96,686,56,632,1,0,DUPLICATE PROFILES,77,,,,,-99,0,-77,-77,-77,-77,49,45,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,23,23,127,30,15,-88,15,7882,7661,0,45,15,-88,-88,,
